key,value
Adult , -0.050000000000000266
Fantasy , 1.1491803278688533
Drama , 0.7132275132275141
Music , 0.6824601366742594
Musical , 0.8651685393258428
Thriller , 1.090369799691834
Horror , 1.1755319148936167
Adventure , 1.0321029082774051
History , 0.4120786516853932
Romance , 0.9618959107806672
Biography , 0.5366322008862628
Western , 0.6843137254901959
Comedy , 1.049627711233411
Action , 1.3531655844155812
News , 0.6000000000000001
Animation , 0.7227118644067798
Sci-Fi , 1.0303370786516863
Film-Noir , -0.8666666666666675
Sport , 1.0268398268398273
Family , 0.8660574412532637
 , 0.14000000000000004
War , 0.5891213389121338
Documentary , 0.41137675185490524
Crime , 1.0319486404833822
Mystery , 1.1193436960276337
Short , 0.6000000000000001
